43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65
43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,90,91,91,91,91,91,92,43,44,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,111,128,148,127,108,108,135,91,92,64,65
43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,111,106,149,114,115,108,107,108,113,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,90,91,136,148,148,113,132,133,115,127,113,64,65
43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,111,106,128,148,129,113,44,43,111,149,113,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,111,107,114,133,133,134,65,64,111,106,113,64,65
43,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,136,107,135,91,92,43,44,43,111,128,135,92,44
64,111,108,150,108,127,149,128,107,128,107,107,128,128,106,149,128,106,150,127,150,113,64,65,64,111,149,150,113,65
43,132,133,133,133,133,133,133,133,133,133,133,115,106,114,133,133,133,133,133,133,134,43,44,43,111,107,106,113,44
64,65,64,65,64,65,64,65,64,65,64,65,111,148,113,65,64,65,64,65,64,65,64,65,90,136,127,107,113,65
43,44,43,44,43,44,43,44,43,44,43,44,111,149,135,91,92,44,43,44,43,44,90,91,136,108,106,114,134,44
64,65,64,65,64,65,64,65,64,65,90,91,136,148,129,148,113,65,64,65,64,90,136,150,127,107,114,134,64,65
43,44,43,44,43,44,43,44,43,44,111,127,150,127,106,149,113,44,43,44,43,111,107,129,114,133,134,44,43,44
64,65,64,65,64,65,64,65,64,65,132,115,127,150,150,128,135,91,91,91,91,136,114,133,134,65,64,65,64,65
43,44,43,44,43,44,43,44,43,44,43,132,133,115,108,128,128,106,148,108,106,114,134,44,43,44,43,44,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,132,133,133,115,108,128,114,133,134,64,65,64,65,64,65,64,65
43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,132,133,133,134,43,44,43,44,43,44,43,44,43,44
64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65
